author_id,name
4,Douglas Adams
7,Bill Bryson
9,Chris Smith
13,Dave Thomas
16,Edith Wharton
18,Gary Paulsen
23,Angela Knight
24,Delia Sherman
25,Patricia A. McKillip
26,Anne McCaffrey
50,Heidi Betts
56,Brian Herbert
58,Frank Herbert
106,Madeleine L'Engle
131,Charles Todd
133,Ewan McGregor
143,Edward Mendelson
146,Quentin Blake
147,Henry Miller
149,Erving Goffman
159,Henry James
163,Marguerite Duras
173,George Eliot
179,Ann McGovern
183,Dennis Cramer
193,Kevin Henkes
194,Mark Shulman
197,Tom Robbins
205,Robert A. Heinlein
209,Terry Jones
214,Norton Juster
233,Don DeLillo
235,Thomas Pynchon
236,Harold Bloom
238,Joan Didion
256,Jared Diamond
288,Drew Gilpin Faust
293,Tom Stoppard
306,William Golding
316,Alice Sebold
317,Sharyn McCrumb
337,Walker Percy
342,Elisabeth Robson
375,Chuck Klosterman
380,Eric Schlosser
397,Robert B. Parker
399,Napoleon Hill
401,Robert M. Pirsig
403,Beverly Cleary
419,Naomi Klein
432,Ayn Rand
438,Billy Collins
447,Bernard Malamud
457,Anne Tyler
463,Philip Roth
464,Tavis Smiley
466,Jon Stewart
500,Jorge Luis Borges
509,Brian Greene
545,Neal Stephenson
566,Paulo Coelho
569,Khaled Hosseini
575,Robert   Harris
578,Mary Pope Osborne
585,John Steinbeck
588,Neil Strauss
589,Orson Scott Card
600,Robert T. Kiyosaki
603,Barry Eisler
614,Arthur Golden
617,Mineko Iwasaki
621,J. Torres
622,Gary Chapman
625,Nora Roberts
630,Dan Brown
639,Lee Strobel
643,Bart D. Ehrman
688,George S. Clason
692,Mercer Mayer
695,Simon Schama
704,Pearl S. Buck
711,Rick Warren
713,Lisa See
721,John Grisham
722,Robert A. Caro
740,James Altucher
755,Benjamin Graham
756,Warren Buffett
769,Barbara Park
771,Sarah Mlynowski
776,Michael   Lewis
779,Frank McConnell
798,Steven D. Levitt
800,Steve Friedman
811,Yann Martel
815,Carlos Ruiz Zafon
822,James Frey
829,Daniel Goleman
858,Louis L'Amour
861,Jean M. Auel
867,Steven Pressfield
868,Tracy Hickman
869,Margaret Weis
870,Holly Lisle
879,Plato
901,Herodotus
903,Homer
904,Stanley Lombardo
908,Alessandro Baricco
919,Virgil
925,David Baker
928,Cecil Day-Lewis
947,William Shakespeare
957,Thucydides
973,Euripides
990,Aeschylus
994,Philip Vellacott
996,Ted Hughes
1002,Sophocles
1005,Robert Fagles
1011,Aristophanes
1023,Sarah Ruden
1049,Elie Wiesel
1050,Mark Haddon
1054,Beryl Markham
1055,Larry McMurtry
1058,David    Allen
1060,Ram Charan
1061,Charles Burck
1062,Larry Bossidy
1124,Anthony Bourdain
1128,Rolfe Humphries
1194,Richard Dawkins
1197,Harold Pinter
1215,Rachel Wetzsteon
1218,Jon Ronson
1223,Josepha Sherman
1235,Jon Krakauer
1236,John Eldredge
1237,Jung Chang
1238,Nelson DeMille
1239,Catherine Coulter
1240,Jack London
1244,Mark Twain
1260,Michel Foucault
1264,Jean Baudrillard
1265,Jane Austen
1266,Vivien Jones
1272,David Roberts
1291,Paul Krugman
1315,Louisa May Alcott
1318,Susan Beth Pfeffer
1332,Julia Golding
1333,Nathaniel Branden
1338,Daniel Pool
1339,Jane Smiley
1340,Patricia Ingham
1350,Sam Walton
1377,Raymond Chandler
1399,Leonard Mlodinow
1401,Stephen Hawking
1410,Lawrence M. Krauss
1418,John Gribbin
1421,Leonard Peikoff
1432,Michael Cunningham
1435,Graeme Base
1438,Walt Whitman
1439,Malcolm Gladwell
1441,Ted Dekker
1448,Karen Joy Fowler
1451,John Sutherland
1455,Ernest Hemingway
1460,Mark Overstall
1461,Gustave Flaubert
1462,Julian Barnes
1465,Geoffrey Wall
1466,Jean-Paul Sartre
1467,Jeffrey Eugenides
1476,Doris Kearns Goodwin
1483,Joseph J. Ellis
1498,David D. Burns
1538,Stephen R. Covey
1549,Martin Dugard
1563,Steven Johnson
1565,Katherine V. Forrest
1567,Temple Grandin
1583,Ruth S. Noel
1612,Jeffery Deaver
1624,Herman Melville
1627,Gary Gianni
1630,Ray Bradbury
1641,Nathaniel Philbrick
1642,Will Eisner
1654,Terry Pratchett
1656,Susan Griffith
1714,Steve McLean
1728,Orhan Pamuk
1730,Umberto Eco
1739,Giovanni Pontiero
1742,Jack Kerouac
1771,Sun Tzu
1779,Jack Trout
1780,Al Ries
1791,Seth Godin
1804,M.A. Screech
1825,Harper Lee
1831,Jonathan Swift
1838,Geoffrey Chaucer
1847,Mark Kurlansky
1858,Kim Stanley Robinson
1860,Walter Benjamin
1873,David Guterson
1879,Franklin W. Dixon
1881,Dave Pelzer
1886,Douglas Coupland
1899,Howard Zinn
1928,Stephen J. Dubner
1938,Friedrich Nietzsche
1948,David Lionel Smith
1949,Katherine Paterson
1954,Natalie Babbitt
1967,Tanya Huff
1973,Tracy Chevalier
1977,Tite Kubo
2007,Daniel Defoe
2014,Garrison Keillor
2022,Guy Cardwell
2031,James Hilton
2041,Frances Hodgson Burnett
2095,Kevin Baker
2098,Elizabeth von Arnim
2116,Lionel Trilling
2121,Michael Pollan
2122,Sarah Vowell
2124,Gordon S. Wood
2130,Gordon Korman
2131,Mem Fox
2147,Ivo Andric
2155,Arthur Hugh Clough
2192,Aristotle
2211,Kenneth McLeish
2226,Alan Brennert
2238,Isabel Allende
2278,Rick Moody
2279,Geoff Dyer
2298,Steve Krug
2313,Louis de Bernieres
2329,Evan Roskos
2330,Tim O'Brien
2331,Mitch Albom
2345,Nicholas Sparks
2347,Jeanne DuPrau
2357,Kerrelyn Sparks
2362,Marisha Pessl
2383,Gillian Flynn
2384,Janet Evanovich
2387,Jayne Ann Krentz
2394,Marjorie Weinman Sharmat
2398,Zander Cannon
2402,Jim Ottaviani
2408,Ian McEwan
2413,George MacDonald
2423,Francine Pascal
2435,Justin O'Brien
2438,Antonio Gramsci
2448,Arthur Conan Doyle
2454,Anthony Boucher
2476,Noam Chomsky
2493,Lois Lowry
2497,Jack Weatherford
2498,David Kopp
2508,Claire Messud
2515,Oliver Stallybrass
2518,Rebecca Forster
2522,Zadie Smith
2526,Libba Bray
2533,Graham Greene
2546,Chuck Palahniuk
2560,Louise Fitzhugh
2565,Ian Fleming
2578,Jonathan Franzen
2599,Edith Grossman
2609,Fern Michaels
2611,Eric Klinenberg
2613,Jaci Burton
2614,Lora Leigh
2617,Jonathan Safran Foer
2633,Nicole Krauss
2636,Tom Standage
2637,Karen Armstrong
2654,Julie Kaufmann
2655,Beth Hensperger
2657,Martha Stewart
2658,Ina Garten
2672,Laura Dave
2673,Michael Teitelbaum
2686,Akira Toriyama
2687,Dan Simmons
2688,Dan Jurgens
2689,J. Michael Straczynski
2713,E.L. Konigsburg
2715,Michael Chabon
2718,Howard Chaykin
2719,Bill Sienkiewicz
2720,Steve Lieber
2735,Samuel Shem
2737,Max Lucado
2745,Phyllis Eisenstein
2749,Scott Turow
2751,Bret Easton Ellis
2766,Peter Gay
2782,Viktor E. Frankl
2815,Andy Hunt
2826,James C. Collins
2832,Julee Rosso
2834,Jerry I. Porras
2849,David Sedaris
2850,Ben Mezrich
2853,Phil Jackson
2857,Hugh Delehanty
2876,Richard Woodley
2887,James Ellroy
2894,Bernhard Schlink
2918,Robert Anton Wilson
2927,Mary GrandPre
2929,Nick Hornby
2960,Wayne W. Dyer
2974,Ibrahim Nasrallah - ibrhym nSr llh
2987,Sarah Dessen
2995,Anderson Cooper
2996,Michael Herr
2998,Bentley Little
3028,Loung Ung
3038,Robert DeMott
3041,Jon Meacham
3049,John Kennedy Toole
3058,Augusten Burroughs
3061,M. Scott Peck
3075,John Irving
3078,Atul Gawande
3080,Judith Viorst
3090,Helen Fielding
3105,Rosemary Wells
3119,Paul Scott
3161,Sandra Boynton
3162,Doreen Cronin
3167,Joseph Heller
3177,Rande Brown
3190,F. Scott Fitzgerald
3222,Penelope Fitzgerald
3226,Scott Cunningham
3231,George Lucas
3242,L. Frank Baum
3275,Jeannette Walls
3277,Dava Sobel
3299,Salman Rushdie
3305,L. Sprague de Camp
3307,Steve McConnell
3314,Arnold Bennett
3317,Dale Carnegie
3335,Alice  Miller
3338,John Rothchild
3340,Spencer Johnson
3345,Joseph Conrad
3347,Frank McCourt
3352,Jerome K. Jerome
3354,Haruki Murakami
3357,Richard Pevear
3358,Larissa Volokhonsky
3362,Eric Carle
3363,Don    Wood
3368,Audrey Wood
3369,Amitav Ghosh
3371,Dave Eggers
3374,Lisa McCourt
3389,Stephen King
3401,David Cordingly
3407,Antony Beevor
3420,Elizabeth Enright
3441,Terry Goodkind
3445,Myla Goldberg
3447,Ken Follett
3449,Graham Swift
3450,Yukito Kishiro
3464,Alex Prud'Homme
3465,Julia Child
3470,Robin Furth
3472,Margaret Atwood
3487,Aldous Huxley
3489,Rebecca Wells
3490,Lauren Weisberger
3500,Anna Quindlen
3502,Alice Hoffman
3503,Maya Angelou
3505,Wally Lamb
3506,Carson McCullers
3509,Chris Bohjalian
3510,Billie Letts
3513,Christina Schwarz
3515,Ann-Marie MacDonald
3517,Sue Miller
3518,Oprah Winfrey
3524,Joyce Carol Oates
3525,Edwidge Danticat
3527,Alan Paton
3528,Kathleen Rooney
3529,Elizabeth Berg
3530,Anita Shreve
3532,Maeve Binchy
3533,Ernest J. Gaines
3534,Toni Morrison
3535,William Faulkner
3536,Ursula Hegi
3540,Janet Fitch
3541,Barbara Kingsolver
3565,Oscar Wilde
3572,Richard Ellmann
3577,Ravi Zacharias
3617,Diana Gabaldon
3618,Philip Pullman
3619,Roger Zelazny
3620,Kathleen Winsor
3621,Steve Berry
3622,Paula Danziger
3646,James D. Hornfischer
3647,Patty Lovell
3651,Aaron Allston
3670,Jhumpa Lahiri
3681,Ann Brashares
3706,George Orwell
3715,Joni Eareckson Tada
3720,Anne Frank
3732,Lorraine Hansberry
3736,Robert Penn Warren
3757,Robert B. Leighton
3766,Gina Smith
3767,Steve Wozniak
3768,John A. Byrne
3769,Mike Barnicle
3770,Jack Welch
3775,Michael Braungart
3776,William McDonough
3780,James Patterson
3839,Gillian Avery
3843,Kenneth Grahame
3873,Mikhail Bulgakov
3878,Adeline Yen Mah
3892,Tom Clancy
3912,Christopher Fowler
3915,Steven Pinker
3936,Stuart Woods
3952,Norman Thomas di Giovanni
3953,William Makepeace Thackeray
3956,Christopher Hitchens
3960,David   Lloyd
3961,Alan Moore
3989,V.S. Naipaul
3995,Emily Rodda
3999,James  Jones
4000,Pat Barker
4007,Mary Doria Russell
4011,Matthew Sweet
4012,Wilkie Collins
4026,Pablo Neruda
4030,Michael Ondaatje
4043,Wilbur Smith
4046,Ellis Peters
4049,Janette Oke
4057,Karen Hesse
4089,Hayden Carruth
4099,Monica Furlong
4116,Erich Maria Remarque
4128,J.M. Coetzee
4174,Sherman Alexie
4178,Cormac McCarthy
4183,Rose Tremain
4187,Primo Levi
4191,Emily Bronte
4201,Laura Wright
4229,Sebastian Faulks
4242,Wilfred Owen
4258,Lawrence Wright
4260,Diana Wynne Jones
4261,Allen Ginsberg
4263,Hayao Miyazaki
4273,Roald Dahl
4280,Kazuo Ishiguro
4314,Josh McDowell
4338,Robert Silverberg
4339,David Foster Wallace
4343,Marianna Mayer
4345,Walter Scott
4370,Elizabeth Wurtzel
4376,Susanna Kaysen
4379,Sylvia Plath
4387,John Saul
4391,Saul Bellow
4402,Miguel Ruiz
4403,Janet Mills
4414,Mark Leyner
4415,Candace Bushnell
4420,Terry Southern
4428,Kresley Cole
4430,Sherrilyn Kenyon
4432,Jasper Fforde
4461,Dallas Willard
4464,Julie Otsuka
4482,Melody Beattie
4489,Maurice Sendak
4493,Eckhart Tolle
4522,Christopher Golden
4605,Lisi Harrison
4608,Don Yaeger
4610,John Sandford
4633,Karen Hawkins
4645,H.W. Brands
4694,Laura Esquivel
4702,Michael Gallagher
4711,Sue Monk Kidd
4735,Kathryn Lasky
4738,Alexander McCall Smith
4739,Murasaki Shikibu
4740,Edward G. Seidensticker
4743,Yoshitaka Amano
4745,Donald Keene
4750,Emile Zola
4763,John Scalzi
4764,Philip K. Dick
4766,Andre Norton
4773,Bruce Catton
4778,John dos Passos
4785,Alexandre Dumas
4820,Jeffrey Archer
4821,Elizabeth Winthrop
4822,Judd Winick
4826,Frances Mayes
4837,Henri J.M. Nouwen
4844,Ed Gorman
4845,Kevin J. Anderson
4861,Charlie Huston
4862,Randy Alcorn
4888,Joe Layden
4938,Ted Nasmith
4941,Brian Sibley
4943,John Garth
4947,Lin Carter
4952,John Berendt
4978,Adrian Alphona
4999,Scott O'Dell
5001,Milton Friedman
5023,Jacqueline Winspear
5062,David Hackett Fischer
5073,Daniel Jonah Goldhagen
5076,Luanne Rice
5077,Sheryl Berk
5080,Mary Alice Monroe
5088,Brad Thor
5091,Lee Child
5095,Jeff Abbott
5116,Jules Feiffer
5117,Art Spiegelman
5120,Seth
