goodreads_book_id,author_ids
1,1077326|2927
2,1077326|2927
3,1077326|2927
4,1077326
5,1077326|2927
6,1077326|2927
10,1077326
11,4
12,4
13,4
14,4
26,7
28,7
29,7
30,656983
33,656983
34,656983
59,25
105,58
106,58
151,128382|3357|3358
152,128382|217371|5262
155,128382|40588|69892
249,147
250,147
252,147
264,159|79407
275,163|25484|17290
295,854076
304,173|15975
320,13450|50060
337,39402
338,197
343,39402|60286
348,205
349,205
350,205
355,205
357,4
360,4
365,4
400,233
409,235
415,235|2964893|2904887
428,238|16462792
431,296961|5117
432,296961
434,296961
449,296961
536,316
537,316
599,375
629,401
655,128382|119190
656,128382|72229|72230|235013
662,432|1421
665,432|1333
668,432|1421
676,438
685,447|2095
698,457
703,463
707,466
759,13450|50060|963872
760,13450|2599
762,13450
764,13450
766,13450
816,545
822,545
823,545
826,545
830,545
865,566|488758
868,4698899|1945379
890,585
900,588
901,589
902,10074
915,603
933,614
960,630
968,630
988,603
1052,688
1067,6281688
1078,704
1103,713
1111,722
1167,769|170662
1202,798|1928
1226,811
1232,815|221645
1241,822
1295,861
1307,869|868
1354,879|1463712|5486209
1362,901|241287|3020094
1381,903|1005|880408|14660239|280215
1420,947|62561|209528
1426,566
1427,566|24758
1428,566|488758|15421047
1430,566|24758
1432,947|569383|8140
1462,973|15558077|176021|192810|2986564
1473,973
1519,990|1005|573919
1523,990|994
1567,1011|355492
1591,1011|1023
1617,1049|329396
1618,1050
1622,947|569383|8140|270160
1624,1054
1625,947
1633,1058
1635,1062|1060|1061
1677,5775606
1842,256
1845,1235
1852,1240
1875,1260|45768
1885,1265|3500|16378912|14532|1244|13771732|15258855|6765
1886,1265|43605|1266
1898,1235
1953,239579|61986|3128534
1987,1338
1990,239579|1340|3128534
2002,1077326
2049,1377
2050,1377
2052,1377
2054,1377
2095,1401
2122,432|1421
2140,1439
2152,1448
2165,1455
2175,1461|54647|474490|1460
2176,1462
2183,1461|123090|1465
2187,1467
2199,1476|315737
2203,6281688
2222,1498
2279,6281688
2287,431149
2323,4|405334|6540105
2330,1583|656983
2371,6281688
2389,1624|52008
2442,1654
2493,880695|16024|4417406
2517,1728|2864594
2526,1285555|1739
2528,1285555|24758
2530,1285555|1739
2531,1285555|24758
2547,6466154
2552,1742|13460
