title,author,description,cover_url,goodreads_id,average_rating,ratings_count,review_count,external_url,genres,language,page_count
The Complete Stories and Poems,,"The life of American writer Edgar Allan Poe was characterized by a dramatic series of successes and failures, breakdowns and recoveries, personal gains and hopes dashed through, despite which he created some of the finest literature the world has ever known. Over time his works have influenced such major creative forces as the French poets Charles Baudelaire and Andre Gide, filmmaker D.W. Griffith and modern literary legend Allen Ginsberg. Best known for his poems and short fiction, Poe perfected the psychological thriller, invented the detective story, and rarely missed transporting the reader to his own supernatural realm. He has also been hailed posthumously as one of the finest literary critics of the nineteenth century. In Edgar Allan Poe: Complete Tales and Poems fans may indulge in all of Poe's most imaginative short-stories, including The Fall of the House of Usher, The Murders in Rue Morgue, The Tell-Tale Heart, Ligeia and Ms. In a Bottle. His complete early and miscellaneous poetic masterpieces are here also, including The Raven, Ulalume, Annabel Lee, Tamerlane, as well as select reviews and narratives.",https://images.gr-assets.com/books/1327942676m/23919.jpg,23919,4.37,161550,1094,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,Poetry,eng,821
Howl and Other Poems,,"The prophetic poem that launched a generation when it was first published in 1956 is here presented in a commemorative fortieth Anniversary Edition.
When the book arrived from its British printers, it was seized almost immediately by U.S. Customs, and shortly thereafter the San Francisco police arrested its publisher and editor, Lawrence Ferlinghetti, together with City Lights Bookstore manager Shigeyoshi Murao. The two of them were charged with disseminating obscene literature, and the case went to trial in the municipal court of Judge Clayton Horn. A parade of distinguished literary and academic witnesses persuaded the judge that the title poem was indeed not obscene and that it had ""redeeming social significance.""
Thus was Howl & Other Poems freed to become the single most influential poetic work of the post-World War II era, with over 900,000 copies now in print.""",https://images.gr-assets.com/books/1327870926m/6295.jpg,6295,4.14,73977,1104,https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems,Poetry,eng,56
Essential Tales and Poems,,"The Essential Tales and Poems of Edgar Allan Poe, by Edgar Allan Poe, is part of the Barnes & Noble Classics series, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras.
Creator of the modern detective story, innovative architect of the horror genre, and a poet of extraordinary musicality, Edgar Allan Poe remains one of America's most popular and influential writers. His tales and poems brim with psychological depth, almost painful intensity, and unexpected--and surprisingly modern--flashes of dark humor and irony.
This anthology offers an exceptionally generous selection of Poe's short stories. It includes his famed masterpieces, such as ""The Murders in the Rue Morgue"" and ""The Purloined Letter,"" featuring Poe's great detective, Dupin; his insightful studies of madness ""The Black Cat"" and ""The Tell-Tale Heart""; ""The Gold-Bug,"" his delightful exercise in ""code-breaking""; and important but lesser-known tales, such as ""Bon-Bon,"" ""The Assignation,"" and ""King Pest."" Also included are some of Poe's most beloved poems, haunting lyrics of love and loss, such as ""Annabel Lee,"" nightmare phantasmagories such as ""The Raven,"" and his grand experiment in translating sound into words, ""The Bells.""
Benjamin F. Fisher, Professor of English, University of Mississippi, is a longtime enthusiast of the works of Poe. He has published books, articles, and notes about Poe, and in American, Victorian, and Gothic studies, and serves on editorial boards for several professional journals. He has also been acclaimed for outstanding teaching.",https://images.gr-assets.com/books/1328753072m/32552.jpg,32552,4.35,60522,100,https://www.goodreads.com/book/show/32552.Essential_Tales_and_Poems,Poetry,eng,688
Ariel,,"Sylvia Plath's celebrated collection.
When Sylvia Plath died, she not only left behind a prolific life but also her unpublished literary masterpiece, Ariel. Her husband, Ted Hughes, brought the collection to life in 1966, and its publication garnered worldwide acclaim. This collection showcases the beloved poet's brilliant, provoking, and always moving poems, including ""Ariel"" and once again shows why readers have fallen in love with her work throughout the generations.",https://images.gr-assets.com/books/1442258738m/395090.jpg,395090,4.23,36837,795,https://www.goodreads.com/book/show/395090.Ariel,Poetry,eng,105
The Raven and Other Poems,,"A chilling, thrilling collection of Edgar Allan Poe's poetry, introduced by best-selling author Philip Pullman
The Raven . . . Annabel Lee . . . Ulalume . . . these are some of the spookiest, most macabre poems ever written, now collected in this chilling, affordable volume.
Dreams --
Lake --
Sonnet --
to science --
[Alone] --
Introduction --
To Helen --
Israfel --
Valley of unrest --
City in the sea --
To one in paradise --
Coliseum --
Haunted palace --
Conqueror worm --
Dream-land --
Eulalie --
Raven --
[""Deep in earth""] --
To M.L.S.- --
Ulalume --
a ballad --
Bells --
To Helen [Whitman] --
Dream within a dream --
For Annie --
Eldorado --
To my mother --
Annabel Lee.",https://images.gr-assets.com/books/1297913274m/269322.jpg,269322,4.3,34934,297,https://www.goodreads.com/book/show/269322.The_Raven_and_Other_Poems,Poetry,eng,73
Twenty Love Poems and a Song of Despair,,"Drawn from the most intimate and personal associations, Pablo Neruda's most beloved collection of poetry juxtaposes the exuberance of youthful passion with the desolation of grief, the sensuality of the body with the metaphorical nuances of nature. Pulitzer Prize-winning poet W. S. Merwin's masterly translation faces the original Spanish text. This edition also features an insightful Introduction by Cristina Garcia. More than eighty years after its publication, Twenty Love Poems and a Song of Despairstands as an essential collection that continues to inspire lovers and poets around the world.",https://images.gr-assets.com/books/1447622711m/5932.jpg,5932,4.32,32000,882,https://www.goodreads.com/book/show/5932.Twenty_Love_Poems_and_a_Song_of_Despair,Poetry,eng,70
"Love That Dog (Jack, #1)",,"""I guess it does
look like a poem
when you see it
typed up
like that.""
Jack hates poetry. Only girls write it and every time he tries to, his brain feels empty. But his teacher, Ms. Stretchberry, won't stop giving her class poetry assignments -- and Jack can't avoid them. But then something amazing happens. The more he writes, the more he learns he does have something to say.",https://images.gr-assets.com/books/1415581593m/53498.jpg,53498,4.01,30971,3461,https://www.goodreads.com/book/show/53498.Love_That_Dog,Poetry,eng,112
"The Oresteia  (Ορέστεια, #1-3)",,"Alternate cover edition can be found 
In the Oresteia--the only trilogy in Greek drama which survives from antiquity--Aeschylus took as his subject the bloody chain of murder and revenge within the royal family of Argos.
Moving from darkness to light, from rage to self-governance, from primitive ritual to civilized institution, their spirit of struggle and regeneration becomes an everlasting song of celebration.",https://images.gr-assets.com/books/1391822282m/1519.jpg,1519,3.99,25214,473,https://www.goodreads.com/book/show/1519.The_Oresteia,Poetry,eng,335
The Crossover,,"""With a bolt of lightning on my kicks . . .The court is SIZZLING. My sweat is DRIZZLING. Stop all that quivering. Cuz tonight I'm delivering,"" announces dread-locked, 12-year old Josh Bell. He and his twin brother Jordan are awesome on the court. But Josh has more than basketball in his blood, he's got mad beats, too, that tell his family's story in verse, in this fast and furious middle grade novel of family and brotherhood.
Josh and Jordan must come to grips with growing up on and off the court to realize breaking the rules comes at a terrible price, as their story's heart-stopping climax proves a game-changer for the entire family.",https://images.gr-assets.com/books/1390427593m/18263725.jpg,18263725,4.22,23725,3990,https://www.goodreads.com/book/show/18263725-the-crossover,Poetry,eng,240
The Melancholy Death of Oyster Boy and Other Stories,,"From breathtaking stop-action animation to bittersweet modern fairy tales, filmmaker Tim Burtonhas become known for his unique visual brilliance - witty and macabre at once. Now he gives birth to a cast of gruesomely sympathetic children - misunderstood outcasts who struggle to find love and belonging in their cruel, cruel worlds. His lovingly lurid illustrations evoke both the sweetness and the tragedy of these dark yet simple beings - hopeful, hapless heroes who appeal to the ugly outsider in all of us, and let us laugh at a world we have long left behind (mostly anyway).",https://images.gr-assets.com/books/1338646527m/519112.jpg,519112,4.13,20556,999,https://www.goodreads.com/book/show/519112.The_Melancholy_Death_of_Oyster_Boy_and_Other_Stories,Poetry,eng,115
